,Instrument,Price Close
2005-08-03,.SPXTR,1868.0566
2005-09-02,.SPXTR,1831.0569
2005-11-23,.SPXTR,1910.3937
2005-12-23,.SPXTR,1918.2543
2005-12-30,.SPXTR,1887.9409
2006-01-13,.SPXTR,1948.6375
2006-02-17,.SPXTR,1951.8329
2006-04-13,.SPXTR,1960.0063
2006-05-26,.SPXTR,1950.8714
2006-07-03,.SPXTR,1954.4896
2006-09-01,.SPXTR,2008.4663
2006-11-22,.SPXTR,2162.6496
2006-12-22,.SPXTR,2173.9004
2006-12-29,.SPXTR,2186.1274
2006-12-29,.SPXTR,2186.1274
2007-01-12,.SPXTR,2206.6773
2007-02-16,.SPXTR,2249.0646
2007-04-05,.SPXTR,2236.7113
